transcript_id	gene_id	gene_name
ENST00000508033	ENSG00000249288	SLC25A15P5
ENST00000510265	ENSG00000249263	PARP4P3
ENST00000456726	ENSG00000189295	ANKRD62P1-PARP4P3
ENST00000457060	ENSG00000189295	ANKRD62P1-PARP4P3
ENST00000434304	ENSG00000259271	ANKRD62P1
ENST00000423580	ENSG00000273244	KB-7G2.8
ENST00000457911	ENSG00000241717	VWFP1
ENST00000422917	ENSG00000235343	AC005301.8
ENST00000331428	ENSG00000172967	XKR3
ENST00000425038	ENSG00000229027	HSFY1P1
ENST00000423928	ENSG00000229027	HSFY1P1
ENST00000442797	ENSG00000234121	GPM6BP3
ENST00000637740	ENSG00000283535	AC007064.29
ENST00000422608	ENSG00000237835	AC007064.22
ENST00000404435	ENSG00000220248	ZNF402P
ENST00000442403	ENSG00000237689	AC007064.24
ENST00000448961	ENSG00000228122	MTND1P17
ENST00000412238	ENSG00000237358	AC007064.25
ENST00000427470	ENSG00000225480	AC006548.19
ENST00000458718	ENSG00000230481	IGKV1OR22-5
ENST00000523309	ENSG00000253691	IGKV2OR22-4
ENST00000521969	ENSG00000253460	IGKV2OR22-3
ENST00000517943	ENSG00000254264	IGKV3OR22-2
ENST00000521497	ENSG00000253481	IGKV1OR22-1
ENST00000623130	ENSG00000280156	AC006548.28
ENST00000400588	ENSG00000215568	GAB4
ENST00000465611	ENSG00000215568	GAB4
ENST00000520505	ENSG00000215568	GAB4
ENST00000523144	ENSG00000215568	GAB4
ENST00000605217	ENSG00000270226	AC006548.26
ENST00000614184	ENSG00000276400	VN1R9P
ENST00000441006	ENSG00000237438	CECR7
ENST00000414401	ENSG00000237438	CECR7
ENST00000609932	ENSG00000237438	CECR7
ENST00000609596	ENSG00000237438	CECR7
ENST00000636648	ENSG00000237438	CECR7
ENST00000608373	ENSG00000273203	AC006946.16
ENST00000609791	ENSG00000273442	AC006946.17
ENST00000477874	ENSG00000177663	IL17RA
ENST00000319363	ENSG00000177663	IL17RA
ENST00000612619	ENSG00000177663	IL17RA
ENST00000459971	ENSG00000177663	IL17RA
ENST00000429106	ENSG00000235328	AC006946.12
ENST00000399875	ENSG00000183307	CECR6
ENST00000331437	ENSG00000183307	CECR6
ENST00000428078	ENSG00000235478	AC006946.15
ENST00000441544	ENSG00000235478	AC006946.15
ENST00000155674	ENSG00000069998	CECR5
ENST00000336737	ENSG00000069998	CECR5
ENST00000477157	ENSG00000069998	CECR5
ENST00000399852	ENSG00000069998	CECR5
ENST00000486462	ENSG00000069998	CECR5
ENST00000463033	ENSG00000069998	CECR5
ENST00000480451	ENSG00000069998	CECR5
ENST00000329743	ENSG00000185837	CECR5-AS1
ENST00000431923	ENSG00000185837	CECR5-AS1
ENST00000449907	ENSG00000093072	CECR1
ENST00000610390	ENSG00000093072	CECR1
ENST00000399837	ENSG00000093072	CECR1
ENST00000399839	ENSG00000093072	CECR1
ENST00000330232	ENSG00000093072	CECR1
ENST00000262607	ENSG00000093072	CECR1
ENST00000469063	ENSG00000093072	CECR1
ENST00000480276	ENSG00000093072	CECR1
ENST00000543038	ENSG00000093072	CECR1
ENST00000441548	ENSG00000093072	CECR1
ENST00000428401	ENSG00000236325	AC005300.5
ENST00000344033	ENSG00000203416	FAM32BP
ENST00000428828	ENSG00000241832	CECR3
ENST00000453421	ENSG00000231004	CECR9
ENST00000485262	ENSG00000239547	RN7SL843P
ENST00000400585	ENSG00000099954	CECR2
ENST00000342247	ENSG00000099954	CECR2
ENST00000262608	ENSG00000099954	CECR2
ENST00000497534	ENSG00000099954	CECR2
ENST00000612582	ENSG00000099954	CECR2
ENST00000355219	ENSG00000099954	CECR2
ENST00000455617	ENSG00000229492	AC004019.10
ENST00000455251	ENSG00000232305	CLCP1
ENST00000437347	ENSG00000228045	DNAJA1P6
ENST00000327451	ENSG00000182902	SLC25A18
ENST00000399813	ENSG00000182902	SLC25A18
ENST00000496051	ENSG00000182902	SLC25A18
ENST00000467228	ENSG00000182902	SLC25A18
ENST00000497401	ENSG00000182902	SLC25A18
ENST00000469889	ENSG00000182902	SLC25A18
ENST00000443935	ENSG00000236754	AC004019.13
ENST00000611039	ENSG00000236754	AC004019.13
ENST00000253413	ENSG00000131100	ATP6V1E1
ENST00000399796	ENSG00000131100	ATP6V1E1
ENST00000399798	ENSG00000131100	ATP6V1E1
ENST00000473248	ENSG00000131100	ATP6V1E1
ENST00000413576	ENSG00000131100	ATP6V1E1
ENST00000481365	ENSG00000131100	ATP6V1E1
ENST00000484653	ENSG00000131100	ATP6V1E1
ENST00000478963	ENSG00000131100	ATP6V1E1
ENST00000460085	ENSG00000131100	ATP6V1E1
ENST00000399781	ENSG00000099968	BCL2L13
ENST00000399782	ENSG00000099968	BCL2L13
ENST00000543133	ENSG00000099968	BCL2L13
ENST00000611738	ENSG00000099968	BCL2L13
ENST00000418951	ENSG00000099968	BCL2L13
ENST00000616863	ENSG00000099968	BCL2L13
ENST00000337612	ENSG00000099968	BCL2L13
ENST00000618481	ENSG00000099968	BCL2L13
ENST00000538149	ENSG00000099968	BCL2L13
ENST00000317582	ENSG00000099968	BCL2L13
ENST00000498133	ENSG00000099968	BCL2L13
ENST00000464649	ENSG00000099968	BCL2L13
ENST00000493680	ENSG00000099968	BCL2L13
ENST00000355028	ENSG00000099968	BCL2L13
ENST00000399777	ENSG00000099968	BCL2L13
ENST00000479296	ENSG00000099968	BCL2L13
ENST00000485631	ENSG00000099968	BCL2L13
ENST00000317361	ENSG00000015475	BID
ENST00000622694	ENSG00000015475	BID
ENST00000615414	ENSG00000015475	BID
ENST00000614949	ENSG00000015475	BID
ENST00000399767	ENSG00000015475	BID
ENST00000399774	ENSG00000015475	BID
ENST00000399765	ENSG00000015475	BID
ENST00000494097	ENSG00000015475	BID
ENST00000342111	ENSG00000015475	BID
ENST00000550946	ENSG00000015475	BID
ENST00000551952	ENSG00000015475	BID
ENST00000611040	ENSG00000015475	BID
ENST00000473439	ENSG00000015475	BID
ENST00000552886	ENSG00000015475	BID
ENST00000617586	ENSG00000015475	BID
ENST00000583102	ENSG00000264757	MIR3198-1
ENST00000600723	ENSG00000269220	LINC00528
ENST00000441493	ENSG00000243156	MICAL3
ENST00000252134	ENSG00000243156	MICAL3
ENST00000580469	ENSG00000243156	MICAL3
ENST00000577821	ENSG00000243156	MICAL3
ENST00000579997	ENSG00000243156	MICAL3
ENST00000584751	ENSG00000243156	MICAL3
ENST00000498573	ENSG00000243156	MICAL3
ENST00000578984	ENSG00000243156	MICAL3
ENST00000400561	ENSG00000243156	MICAL3
ENST00000495076	ENSG00000243156	MICAL3
ENST00000578905	ENSG00000243156	MICAL3
ENST00000414725	ENSG00000243156	MICAL3
ENST00000383094	ENSG00000243156	MICAL3
ENST00000461307	ENSG00000243156	MICAL3
ENST00000585038	ENSG00000243156	MICAL3
ENST00000462645	ENSG00000243156	MICAL3
ENST00000465886	ENSG00000243156	MICAL3
ENST00000498345	ENSG00000243156	MICAL3
ENST00000424046	ENSG00000243156	MICAL3
ENST00000476405	ENSG00000093100	XXbac-B461K10.4
ENST00000385046	ENSG00000207780	MIR648
ENST00000429618	ENSG00000235445	XXbac-B476C20.14
ENST00000441167	ENSG00000234913	XXbac-B476C20.13
ENST00000411920	ENSG00000237446	RHEBP3
ENST00000443243	ENSG00000235295	FLJ41941
ENST00000426483	ENSG00000225335	XXbac-B476C20.9
ENST00000607927	ENSG00000225335	XXbac-B476C20.9
ENST00000622035	ENSG00000225335	XXbac-B476C20.9
ENST00000610387	ENSG00000215193	PEX26
ENST00000329627	ENSG00000215193	PEX26
ENST00000399744	ENSG00000215193	PEX26
ENST00000474897	ENSG00000215193	PEX26
ENST00000428061	ENSG00000215193	PEX26
ENST00000427227	ENSG00000236890	XXbac-B476C20.11
ENST00000450866	ENSG00000235617	XXbac-B476C20.10
ENST00000446487	ENSG00000225225	ARL2BPP10
ENST00000426208	ENSG00000183785	TUBA8
ENST00000316027	ENSG00000183785	TUBA8
ENST00000330423	ENSG00000183785	TUBA8
ENST00000416740	ENSG00000183785	TUBA8
ENST00000608634	ENSG00000183785	TUBA8
ENST00000623543	ENSG00000280007	AC008079.10
ENST00000215794	ENSG00000184979	USP18
ENST00000434390	ENSG00000187979	AC008079.9
ENST00000617623	ENSG00000276160	GGTLC5P
ENST00000619172	ENSG00000274044	AC011718.2
ENST00000618517	ENSG00000274044	AC011718.2
ENST00000613790	ENSG00000274044	AC011718.2
ENST00000615974	ENSG00000274044	AC011718.2
ENST00000622906	ENSG00000276874	AC011718.3
ENST00000612861	ENSG00000275060	PPP1R26P3
ENST00000614584	ENSG00000277017	XXbac-B33L19.6
ENST00000620909	ENSG00000277017	XXbac-B33L19.6
ENST00000615181	ENSG00000277870	FAM230A
ENST00000624459	ENSG00000277870	FAM230A
ENST00000624001	ENSG00000277870	FAM230A
ENST00000621762	ENSG00000278044	XXbac-B33L19.12
ENST00000619998	ENSG00000274252	GGTLC3
ENST00000618466	ENSG00000275319	Metazoa_SRP
ENST00000359859	ENSG00000277690	XXbac-B33L19.15
ENST00000612978	ENSG00000278558	TMEM191B
ENST00000614395	ENSG00000278558	TMEM191B
ENST00000620199	ENSG00000278558	TMEM191B
ENST00000613577	ENSG00000278558	TMEM191B
ENST00000621725	ENSG00000278558	TMEM191B
ENST00000618859	ENSG00000278558	TMEM191B
ENST00000613597	ENSG00000278558	TMEM191B
ENST00000610959	ENSG00000274602	PI4KAP1
ENST00000619742	ENSG00000274602	PI4KAP1
ENST00000617243	ENSG00000274602	PI4KAP1
ENST00000618794	ENSG00000274602	PI4KAP1
ENST00000612579	ENSG00000274602	PI4KAP1
ENST00000612500	ENSG00000274602	PI4KAP1
ENST00000611748	ENSG00000274602	PI4KAP1
ENST00000616531	ENSG00000274602	PI4KAP1
ENST00000614296	ENSG00000274625	SCARNA17
ENST00000410698	ENSG00000222630	RN7SKP131
ENST00000619918	ENSG00000275793	RIMBP3
ENST00000611762	ENSG00000275362	Metazoa_SRP
ENST00000611186	ENSG00000278110	XXbac-B33L19.10
ENST00000611168	ENSG00000273907	CA15P2
ENST00000611403	ENSG00000273643	PPP1R26P2
ENST00000619065	ENSG00000278008	PPP1R26P4
ENST00000342888	ENSG00000182824	AC008132.15
ENST00000611876	ENSG00000182824	AC008132.15
ENST00000412448	ENSG00000197421	GGT3P
ENST00000453783	ENSG00000197421	GGT3P
ENST00000445651	ENSG00000197421	GGT3P
ENST00000430306	ENSG00000197421	GGT3P
ENST00000437537	ENSG00000239989	AC008132.14
ENST00000428850	ENSG00000234764	E2F6P1
ENST00000419447	ENSG00000161103	AC008132.13
ENST00000342005	ENSG00000161103	AC008132.13
ENST00000412938	ENSG00000161103	AC008132.13
ENST00000416498	ENSG00000161103	AC008132.13
ENST00000511549	ENSG00000215544	BCRP7
ENST00000614596	ENSG00000276095	AC008103.3
ENST00000623570	ENSG00000279987	AC008103.4
ENST00000413981	ENSG00000183628	DGCR6
ENST00000331444	ENSG00000183628	DGCR6
ENST00000483718	ENSG00000183628	DGCR6
ENST00000427407	ENSG00000183628	DGCR6
ENST00000608842	ENSG00000183628	DGCR6
ENST00000480608	ENSG00000183628	DGCR6
ENST00000477156	ENSG00000183628	DGCR6
ENST00000436645	ENSG00000183628	DGCR6
ENST00000610940	ENSG00000100033	PRODH
ENST00000491604	ENSG00000100033	PRODH
ENST00000420436	ENSG00000100033	PRODH
ENST00000313755	ENSG00000100033	PRODH
ENST00000429300	ENSG00000100033	PRODH
ENST00000482858	ENSG00000100033	PRODH
ENST00000334029	ENSG00000100033	PRODH
ENST00000357068	ENSG00000100033	PRODH
ENST00000609229	ENSG00000100033	PRODH
ENST00000446371	ENSG00000100033	PRODH
ENST00000438924	ENSG00000100033	PRODH
ENST00000399694	ENSG00000100033	PRODH
ENST00000450579	ENSG00000100033	PRODH
ENST00000457083	ENSG00000100033	PRODH
ENST00000496625	ENSG00000100033	PRODH
ENST00000623496	ENSG00000279560	AC007326.1
ENST00000624224	ENSG00000280418	AC007326.10
ENST00000438934	ENSG00000237517	DGCR5
ENST00000421572	ENSG00000237517	DGCR5
ENST00000399539	ENSG00000237517	DGCR5
ENST00000440005	ENSG00000283406	DGCR5
ENST00000636418	ENSG00000283583	AC007326.12
ENST00000604539	ENSG00000271275	AC007326.9
ENST00000424407	ENSG00000283366	AC000095.12
ENST00000637415	ENSG00000283366	AC000095.12
ENST00000609630	ENSG00000273032	DGCR9
ENST00000603208	ENSG00000270393	AC000095.9
ENST00000609839	ENSG00000273164	AC000095.11
ENST00000481698	ENSG00000241527	CA15P1
ENST00000537045	ENSG00000070413	DGCR2
ENST00000545799	ENSG00000070413	DGCR2
ENST00000389262	ENSG00000070413	DGCR2
ENST00000263196	ENSG00000070413	DGCR2
ENST00000467659	ENSG00000070413	DGCR2
ENST00000608548	ENSG00000070413	DGCR2
ENST00000473832	ENSG00000070413	DGCR2
ENST00000384012	ENSG00000206739	Y_RNA
ENST00000609958	ENSG00000273311	DGCR11
ENST00000412461	ENSG00000237347	AC004461.4
ENST00000629517	ENSG00000281530	DGCR12
ENST00000456035	ENSG00000223461	AC004471.9
ENST00000609936	ENSG00000272682	AC004471.10
ENST00000450724	ENSG00000231086	TSSK1A
ENST00000252137	ENSG00000100056	DGCR14
ENST00000434568	ENSG00000100056	DGCR14
ENST00000472073	ENSG00000100056	DGCR14
ENST00000469466	ENSG00000100056	DGCR14
ENST00000399635	ENSG00000206203	TSSK2
ENST00000086933	ENSG00000063515	GSC2
ENST00000565162	ENSG00000260924	LINC01311
ENST00000215882	ENSG00000100075	SLC25A1
ENST00000451283	ENSG00000100075	SLC25A1
ENST00000470922	ENSG00000100075	SLC25A1
ENST00000461267	ENSG00000100075	SLC25A1
ENST00000468824	ENSG00000100075	SLC25A1
ENST00000621271	ENSG00000070371	CLTCL1
ENST00000427926	ENSG00000070371	CLTCL1
ENST00000412649	ENSG00000070371	CLTCL1
ENST00000622493	ENSG00000070371	CLTCL1
ENST00000617926	ENSG00000070371	CLTCL1
ENST00000615606	ENSG00000070371	CLTCL1
ENST00000617103	ENSG00000070371	CLTCL1
ENST00000538828	ENSG00000070371	CLTCL1
ENST00000611723	ENSG00000070371	CLTCL1
ENST00000458188	ENSG00000070371	CLTCL1
ENST00000540896	ENSG00000070371	CLTCL1
ENST00000449918	ENSG00000070371	CLTCL1
ENST00000433141	ENSG00000230194	AC000081.2
ENST00000516131	ENSG00000251940	SNORA15
ENST00000446618	ENSG00000233471	KRT18P62
ENST00000340170	ENSG00000100084	HIRA
ENST00000263208	ENSG00000100084	HIRA
ENST00000464189	ENSG00000100084	HIRA
ENST00000452818	ENSG00000100084	HIRA
ENST00000509549	ENSG00000242259	C22orf39
ENST00000399568	ENSG00000242259	C22orf39
ENST00000542103	ENSG00000242259	C22orf39
ENST00000399562	ENSG00000242259	C22orf39
ENST00000611555	ENSG00000242259	C22orf39
ENST00000333059	ENSG00000242259	C22orf39
ENST00000463821	ENSG00000244296	RN7SL168P
ENST00000333130	ENSG00000185608	MRPL40
ENST00000443660	ENSG00000185608	MRPL40
ENST00000471259	ENSG00000185608	MRPL40
ENST00000431090	ENSG00000185065	AC000068.5
ENST00000263202	ENSG00000070010	UFD1L
ENST00000459854	ENSG00000070010	UFD1L
ENST00000399523	ENSG00000070010	UFD1L
ENST00000466373	ENSG00000070010	UFD1L
ENST00000447868	ENSG00000070010	UFD1L
ENST00000421968	ENSG00000070010	UFD1L
ENST00000484101	ENSG00000070010	UFD1L
ENST00000489406	ENSG00000070010	UFD1L
ENST00000494054	ENSG00000070010	UFD1L
ENST00000474226	ENSG00000070010	UFD1L
ENST00000607934	ENSG00000273300	AC000068.9
ENST00000608816	ENSG00000273212	AC000068.10
ENST00000407835	ENSG00000093009	CDC45
ENST00000438587	ENSG00000093009	CDC45
ENST00000455750	ENSG00000093009	CDC45
ENST00000491520	ENSG00000093009	CDC45
ENST00000263201	ENSG00000093009	CDC45
ENST00000437685	ENSG00000093009	CDC45
ENST00000483431	ENSG00000093009	CDC45
ENST00000404724	ENSG00000093009	CDC45
ENST00000487669	ENSG00000093009	CDC45
ENST00000428937	ENSG00000093009	CDC45
ENST00000471470	ENSG00000093009	CDC45
ENST00000493724	ENSG00000093009	CDC45
ENST00000406028	ENSG00000184113	CLDN5
ENST00000618236	ENSG00000184113	CLDN5
ENST00000403084	ENSG00000184113	CLDN5
ENST00000413119	ENSG00000184113	CLDN5
ENST00000629028	ENSG00000281548	LINC00895
ENST00000420012	ENSG00000230485	AC000077.2
ENST00000452326	ENSG00000225007	AC000067.1
ENST00000455784	ENSG00000184702	SEPT5
ENST00000622227	ENSG00000184702	SEPT5
ENST00000406395	ENSG00000184702	SEPT5
ENST00000406172	ENSG00000184702	SEPT5
ENST00000412544	ENSG00000184702	SEPT5
ENST00000455843	ENSG00000184702	SEPT5
ENST00000431124	ENSG00000184702	SEPT5
ENST00000490204	ENSG00000184702	SEPT5
ENST00000383045	ENSG00000184702	SEPT5
ENST00000438754	ENSG00000184702	SEPT5
ENST00000431044	ENSG00000184702	SEPT5
ENST00000395109	ENSG00000184702	SEPT5
ENST00000477238	ENSG00000184702	SEPT5
ENST00000413258	ENSG00000184702	SEPT5
ENST00000480423	ENSG00000184702	SEPT5
ENST00000470814	ENSG00000184702	SEPT5
ENST00000366425	ENSG00000203618	GP1BB
ENST00000332710	ENSG00000184058	TBX1
ENST00000329705	ENSG00000184058	TBX1
ENST00000359500	ENSG00000184058	TBX1
ENST00000621939	ENSG00000184058	TBX1
ENST00000475303	ENSG00000184058	TBX1
ENST00000484336	ENSG00000184058	TBX1
ENST00000329517	ENSG00000185838	GNB1L
ENST00000403325	ENSG00000185838	GNB1L
ENST00000405009	ENSG00000185838	GNB1L
ENST00000460402	ENSG00000185838	GNB1L
ENST00000481086	ENSG00000185838	GNB1L
ENST00000453108	ENSG00000185838	GNB1L
ENST00000424559	ENSG00000235776	AC000089.3
ENST00000407472	ENSG00000215012	C22orf29
ENST00000328554	ENSG00000215012	C22orf29
ENST00000484072	ENSG00000215012	C22orf29
ENST00000405640	ENSG00000215012	C22orf29
ENST00000416337	ENSG00000215012	C22orf29
ENST00000400518	ENSG00000184470	TXNRD2
ENST00000494454	ENSG00000184470	TXNRD2
ENST00000542719	ENSG00000184470	TXNRD2
ENST00000474308	ENSG00000184470	TXNRD2
ENST00000462330	ENSG00000184470	TXNRD2
ENST00000487165	ENSG00000184470	TXNRD2
ENST00000634537	ENSG00000184470	TXNRD2
ENST00000400519	ENSG00000184470	TXNRD2
ENST00000400525	ENSG00000184470	TXNRD2
ENST00000400521	ENSG00000184470	TXNRD2
ENST00000495655	ENSG00000184470	TXNRD2
ENST00000485358	ENSG00000184470	TXNRD2
ENST00000462843	ENSG00000184470	TXNRD2
ENST00000634471	ENSG00000184470	TXNRD2
ENST00000635155	ENSG00000184470	TXNRD2
ENST00000491939	ENSG00000184470	TXNRD2
ENST00000334363	ENSG00000184470	TXNRD2
ENST00000475995	ENSG00000184470	TXNRD2
ENST00000484672	ENSG00000184470	TXNRD2
ENST00000471835	ENSG00000184470	TXNRD2
ENST00000496729	ENSG00000184470	TXNRD2
ENST00000420617	ENSG00000232926	AC000078.5
ENST00000361682	ENSG00000093010	COMT
ENST00000403184	ENSG00000093010	COMT
ENST00000403710	ENSG00000093010	COMT
ENST00000407537	ENSG00000093010	COMT
ENST00000467943	ENSG00000093010	COMT
ENST00000412786	ENSG00000093010	COMT
ENST00000207636	ENSG00000093010	COMT
ENST00000406520	ENSG00000093010	COMT
ENST00000449653	ENSG00000093010	COMT
ENST00000493893	ENSG00000093010	COMT
ENST00000428707	ENSG00000093010	COMT
ENST00000585066	ENSG00000093010	COMT
ENST00000263207	ENSG00000099889	ARVCF
ENST00000495096	ENSG00000099889	ARVCF
ENST00000401994	ENSG00000099889	ARVCF
ENST00000406522	ENSG00000099889	ARVCF
ENST00000406259	ENSG00000099889	ARVCF
ENST00000480792	ENSG00000099889	ARVCF
ENST00000473551	ENSG00000099889	ARVCF
ENST00000487793	ENSG00000099889	ARVCF
ENST00000492625	ENSG00000099889	ARVCF
ENST00000462319	ENSG00000099889	ARVCF
ENST00000467828	ENSG00000099889	ARVCF
ENST00000471707	ENSG00000183597	TANGO2
ENST00000401886	ENSG00000183597	TANGO2
ENST00000475446	ENSG00000183597	TANGO2
ENST00000432198	ENSG00000183597	TANGO2
ENST00000411907	ENSG00000183597	TANGO2
ENST00000434570	ENSG00000183597	TANGO2
ENST00000456048	ENSG00000183597	TANGO2
ENST00000432883	ENSG00000183597	TANGO2
ENST00000447208	ENSG00000183597	TANGO2
ENST00000420290	ENSG00000183597	TANGO2
ENST00000398042	ENSG00000183597	TANGO2
ENST00000399807	ENSG00000183597	TANGO2
ENST00000450664	ENSG00000183597	TANGO2
ENST00000450019	ENSG00000183597	TANGO2
ENST00000327374	ENSG00000183597	TANGO2
ENST00000479679	ENSG00000183597	TANGO2
ENST00000430807	ENSG00000183597	TANGO2
ENST00000401833	ENSG00000183597	TANGO2
ENST00000434168	ENSG00000183597	TANGO2
ENST00000462579	ENSG00000183597	TANGO2
ENST00000444651	ENSG00000183597	TANGO2
ENST00000484373	ENSG00000183597	TANGO2
ENST00000485715	ENSG00000183597	TANGO2
ENST00000490583	ENSG00000183597	TANGO2
ENST00000490121	ENSG00000183597	TANGO2
ENST00000476940	ENSG00000183597	TANGO2
ENST00000385288	ENSG00000208023	MIR185
ENST00000628442	ENSG00000236540	AC006547.13
ENST00000415503	ENSG00000236540	AC006547.13
ENST00000608610	ENSG00000236540	AC006547.13
ENST00000600937	ENSG00000236540	AC006547.13
ENST00000595864	ENSG00000236540	AC006547.13
ENST00000600617	ENSG00000236540	AC006547.13
ENST00000601746	ENSG00000236540	AC006547.13
ENST00000598339	ENSG00000236540	AC006547.13
ENST00000596334	ENSG00000236540	AC006547.13
ENST00000609644	ENSG00000236540	AC006547.13
ENST00000609191	ENSG00000236540	AC006547.13
ENST00000600090	ENSG00000268292	AC006547.15
ENST00000619837	ENSG00000277950	Metazoa_SRP
ENST00000351989	ENSG00000128191	DGCR8
ENST00000383024	ENSG00000128191	DGCR8
ENST00000457069	ENSG00000128191	DGCR8
ENST00000580330	ENSG00000128191	DGCR8
ENST00000495826	ENSG00000128191	DGCR8
ENST00000407755	ENSG00000128191	DGCR8
ENST00000408439	ENSG00000128191	DGCR8
ENST00000498171	ENSG00000128191	DGCR8
ENST00000491892	ENSG00000128191	DGCR8
ENST00000495351	ENSG00000128191	DGCR8
ENST00000485802	ENSG00000128191	DGCR8
ENST00000475941	ENSG00000128191	DGCR8
ENST00000412713	ENSG00000243762	AC006547.8
ENST00000252136	ENSG00000099899	TRMT2A
ENST00000403707	ENSG00000099899	TRMT2A
ENST00000480339	ENSG00000099899	TRMT2A
ENST00000444845	ENSG00000099899	TRMT2A
ENST00000404751	ENSG00000099899	TRMT2A
ENST00000487668	ENSG00000099899	TRMT2A
ENST00000439169	ENSG00000099899	TRMT2A
ENST00000487378	ENSG00000099899	TRMT2A
ENST00000444256	ENSG00000099899	TRMT2A
ENST00000494820	ENSG00000099899	TRMT2A
ENST00000492988	ENSG00000099899	TRMT2A
ENST00000471040	ENSG00000099899	TRMT2A
ENST00000488335	ENSG00000099899	TRMT2A
ENST00000463710	ENSG00000099899	TRMT2A
ENST00000459644	ENSG00000099899	TRMT2A
ENST00000468917	ENSG00000099899	TRMT2A
ENST00000480460	ENSG00000099899	TRMT2A
ENST00000494641	ENSG00000099899	TRMT2A
ENST00000464535	ENSG00000099899	TRMT2A
ENST00000445045	ENSG00000099899	TRMT2A
ENST00000620368	ENSG00000278278	MIR6816
ENST00000432879	ENSG00000099901	RANBP1
ENST00000435265	ENSG00000099901	RANBP1
ENST00000430524	ENSG00000099901	RANBP1
ENST00000402752	ENSG00000099901	RANBP1
ENST00000488484	ENSG00000099901	RANBP1
ENST00000331821	ENSG00000099901	RANBP1
